Revenue Month,Consumption (KWH)
1/1/10,50028.04112
2/1/10,43427.41436
3/1/10,39666.35179
4/1/10,39226.90231
5/1/10,40515.67914
6/1/10,52355.15098
7/1/10,69719.77954
8/1/10,66481.18135
9/1/10,51409.48448
10/1/10,42970.56034
11/1/10,43152.49138
12/1/10,43477.35
1/1/12,39866.49925
2/1/12,34115.83109
3/1/12,35301.92526
4/1/12,31558.03221
5/1/12,31423.80088
6/1/12,40688.84187
7/1/12,58354.041
8/1/12,54333.1713
9/1/12,46394.95168
10/1/12,36869.95168
11/1/12,33069.29757
12/1/12,36248.6289
1/1/13,34486.75613
2/1/13,33809.01231
3/1/13,29659.18558
4/1/13,28395.26035
5/1/13,28408.47397
6/1/13,38943.76769
7/1/13,53983.65287
8/1/13,41551.096
9/1/13,42887.588
10/1/13,31034.51733
11/1/13,30048.73733
12/1/13,34544.04673
1/1/14,33229.1215
2/1/14,32599.80908
3/1/14,29250.8016
4/1/14,28224.36133
5/1/14,27801.52603
6/1/14,36796.89333
7/1/14,45298.11968
8/1/14,40535.93791
9/1/14,42343.90464
10/1/14,30721.19205
11/1/14,29758.95894
12/1/14,34324.41854
1/1/15,34593.71202
2/1/15,31030.2576
3/1/15,28912.23351
4/1/15,28065.21636
5/1/15,31392.64776
6/1/15,35666.77573
7/1/15,44444.04749
8/1/15,50327.86016
9/1/15,44011.65567
10/1/15,31644.77997
11/1/15,31970.97365
12/1/15,32259.0224
1/1/16,34016.77207
2/1/16,31607.20026
3/1/16,28773.92227
4/1/16,30341.77997
5/1/16,28003.08564
6/1/16,38169.85112
7/1/16,50488.39921
8/1/16,50627.70883
9/1/16,44956.21316
10/1/16,33799.46772
11/1/16,30753.80501
12/1/16,32100.38867
1/1/17,34332.278
2/1/17,30402.01976
3/1/17,30955.86561
4/1/17,28323.6693
5/1/17,28715.55468
6/1/17,34881.10935
7/1/17,50405.56126
8/1/17,41920.07378
9/1/17,36291.86561
10/1/17,38379.12839
11/1/17,31849.77033
12/1/17,33629.29815
1/1/19,32700.26139
2/1/19,31662.72594
3/1/19,28039.34846
4/1/19,27923.89692
5/1/19,27570.24867
6/1/19,34421.43391
7/1/19,48423.81383
8/1/19,44687.22296
9/1/19,37993.2108
10/1/19,31036.15152
11/1/19,28098.71673
12/1/19,31576.79842
1/1/20,29975.29551
2/1/20,29627.78788
3/1/20,27116.63193
4/1/20,28142.86675
5/1/20,27805.83245
6/1/20,36136.56464
7/1/20,47113.30079
8/1/20,47111.61214
9/1/20,41989.71636
10/1/20,30025.70712
11/1/20,29269.8905
12/1/20,32934.47361
1/1/21,32414.30911
2/1/21,28894.39762
3/1/21,27326.60898
4/1/21,28189.35931
5/1/21,27130.26948
6/1/21,34855.94188
7/1/21,42688.65395
8/1/21,43159.13175
9/1/21,38334.94459
10/1/21,30166.14512
11/1/21,30127.46702
12/1/21,29981.3153
1/1/22,31283.25462
