Revenue Month,Consumption (KWH)
1/1/10,37531.5719
2/1/10,31871.28973
3/1/10,30244.38178
4/1/10,31023.97505
5/1/10,29442.51085
6/1/10,38896.3731
7/1/10,51086.87701
8/1/10,50731.28709
9/1/10,38825.36499
10/1/10,32987.5766
11/1/10,32774.58961
12/1/10,33564.14528
1/1/12,34236.56687
2/1/12,30194.93911
3/1/12,29395.04274
4/1/12,25741.69364
5/1/12,25615.24808
6/1/12,32686.64038
7/1/12,46855.01347
8/1/12,42228.03369
9/1/12,38182.59213
10/1/12,30528.63148
11/1/12,27035.51965
12/1/12,31393.19367
1/1/13,30373.44775
2/1/13,29372.9329
3/1/13,26414.28871
4/1/13,24618.34375
5/1/13,23945.83702
6/1/13,31550.93617
7/1/13,42734.47803
8/1/13,34080.35119
9/1/13,34515.72378
10/1/13,26009.21278
11/1/13,24416.90741
12/1/13,28279.97572
1/1/14,27362.65828
2/1/14,26891.70512
3/1/14,24004.77103
4/1/14,22876.55761
5/1/14,22272.63331
6/1/14,28662.40049
7/1/14,32771.13937
8/1/14,28686.8697
9/1/14,29852.75276
10/1/14,21906.26556
11/1/14,22382.67139
12/1/14,25872.62411
1/1/15,26203.65882
2/1/15,23655.90774
3/1/15,22057.18872
4/1/15,21321.0133
5/1/15,23712.61436
6/1/15,24957.02036
7/1/15,30179.51508
8/1/15,34613.93962
9/1/15,31713.25716
10/1/15,22935.63321
11/1/15,23270.88688
12/1/15,23487.03771
1/1/16,24534.75132
2/1/16,22776.65538
3/1/16,20974.8287
4/1/16,22100.97001
5/1/16,20153.67316
6/1/16,25793.14468
7/1/16,33811.18577
8/1/16,33885.92884
9/1/16,30243.9206
10/1/16,24123.67566
11/1/16,21969.02697
12/1/16,23268.6
1/1/17,24672.3518
2/1/17,21761.22789
3/1/17,22179.30936
4/1/17,19797.17978
5/1/17,19721.63446
6/1/17,23774.28264
7/1/17,33264.71911
8/1/17,28669
9/1/17,25366.85938
10/1/17,25363.8285
11/1/17,21478.66039
12/1/17,23465.92328
1/1/19,21616.08473
2/1/19,21619.57689
3/1/19,19410.44427
4/1/19,19019.25058
5/1/19,18584.13633
6/1/19,22308.64521
7/1/19,29322.12335
8/1/19,28838.60974
9/1/19,25697.24962
10/1/19,21517.22423
11/1/19,19921.82492
12/1/19,23014.29992
1/1/20,22114.97242
2/1/20,22097.06761
3/1/20,19637.85294
4/1/20,19826.86107
5/1/20,19517.50753
6/1/20,24120.74529
7/1/20,31743.96157
8/1/20,31836.07321
9/1/20,29544.83094
10/1/20,22722.24547
11/1/20,20945.25434
12/1/20,23276.4483
1/1/21,23615.97472
2/1/21,21195.67813
3/1/21,19846.90594
4/1/21,20263.75245
5/1/21,18903.43642
6/1/21,23160.34312
7/1/21,29225.49135
8/1/21,29687.33258
9/1/21,26181.89917
10/1/21,21488.26787
11/1/21,21697.33935
12/1/21,21538.29797
1/1/22,22968.42137
