Revenue Month,Consumption (KWH)
3/1/12,30
4/1/12,82.30769231
5/1/12,197.7692308
6/1/12,105
7/1/12,126.6923077
8/1/12,108.0769231
9/1/12,219.625
10/1/12,181.5333333
11/1/12,187.625
12/1/12,180.4666667
1/1/13,267.75
2/1/13,169.6666667
3/1/13,197.625
4/1/13,163.9333333
5/1/13,189.8
6/1/13,184.1428571
7/1/13,216.7333333
8/1/13,179.3571429
9/1/13,197.7333333
10/1/13,178.2857143
11/1/13,180.0666667
12/1/13,208.5
1/1/14,274.1333333
2/1/14,206.1428571
3/1/14,227.4666667
4/1/14,173.9285714
5/1/14,168.8666667
6/1/14,167.2857143
7/1/14,212.1764706
8/1/14,102.6666667
9/1/14,110.6153846
10/1/14,110.4166667
11/1/14,105.5384615
12/1/14,128.3333333
1/1/15,131.75
2/1/15,119.5833333
3/1/15,111.6666667
4/1/15,105.6666667
5/1/15,106.1666667
6/1/15,97.83333333
7/1/15,100.5833333
8/1/15,114.6153846
9/1/15,108.9230769
10/1/15,112.8461538
11/1/15,119.9230769
12/1/15,125.6153846
1/1/16,137.5384615
2/1/16,131
3/1/16,121
4/1/16,125.9230769
5/1/16,117.4615385
6/1/16,111.8461538
7/1/16,118.0769231
8/1/16,110
9/1/16,115
10/1/16,131.0769231
11/1/16,146.1538462
12/1/16,163.3076923
1/1/17,188.6428571
2/1/17,168.4285714
3/1/17,142.2857143
4/1/17,119.4285714
5/1/17,114.8571429
6/1/17,119.5
7/1/17,150
8/1/17,122
9/1/17,128.6428571
10/1/17,137.6153846
11/1/17,135.1538462
12/1/17,177.8461538
1/1/19,171.6428571
2/1/19,172.1428571
3/1/19,158.0714286
4/1/19,148.2857143
5/1/19,158.7857143
6/1/19,157.3571429
7/1/19,151.0714286
8/1/19,160.3571429
9/1/19,144.2857143
10/1/19,140.5714286
11/1/19,155.9285714
12/1/19,189.3571429
1/1/20,209.9285714
2/1/20,214.5714286
3/1/20,201.1785714
4/1/20,201.25
5/1/20,157.7857143
6/1/20,145.5714286
7/1/20,194.2142857
8/1/20,180.6428571
9/1/20,207.9285714
10/1/20,194.1428571
11/1/20,151.0714286
12/1/20,148.5714286
1/1/21,162.8571429
2/1/21,146.1428571
3/1/21,144.0714286
4/1/21,134.5714286
5/1/21,124.2142857
6/1/21,138.0714286
7/1/21,126.6666667
8/1/21,139.75
9/1/21,134.6666667
10/1/21,141.1666667
11/1/21,157.75
12/1/21,171.75
1/1/22,178.5833333
