Revenue Month,Consumption (KWH)
1/1/10,49050.5792
2/1/10,42323.03628
3/1/10,40555.85804
4/1/10,40533.97953
5/1/10,41163.17953
6/1/10,54463.22677
7/1/10,72308.11356
8/1/10,68715.40181
9/1/10,52913.5559
10/1/10,43697.12908
11/1/10,43026.68056
12/1/10,43723.71605
1/1/12,39768.19106
2/1/12,33102.26523
3/1/12,32678.81761
4/1/12,30444.22836
5/1/12,31320.35006
6/1/12,40537.14591
7/1/12,59260.69153
8/1/12,52613.31985
9/1/12,45556.04425
10/1/12,36142.34766
11/1/12,31489.12025
12/1/12,35944.83165
1/1/13,34671.20948
2/1/13,34333.86386
3/1/13,29152.24142
4/1/13,26576.89183
5/1/13,26788.901
6/1/13,37355.65028
7/1/13,53209.65363
8/1/13,39538.13743
9/1/13,40742.36425
10/1/13,29537.67447
11/1/13,28318.59131
12/1/13,32650.08138
1/1/14,31016.95768
2/1/14,30336.04425
3/1/14,28000.3047
4/1/14,27245.10997
5/1/14,27472.10195
6/1/14,36487.75716
7/1/14,45146.6701
8/1/14,41083.26613
9/1/14,41488.36872
10/1/14,30204.49022
11/1/14,29196.65632
12/1/14,32860.01264
1/1/15,33183.69625
2/1/15,29937.79247
3/1/15,27838.95558
4/1/15,27231.74686
5/1/15,31184.53022
6/1/15,36169.64237
7/1/15,44064.96701
8/1/15,50399.07395
9/1/15,44005.82253
10/1/15,30539.93743
11/1/15,30899.29807
12/1/15,31371.96018
1/1/16,32785.96246
2/1/16,30112.73948
3/1/16,27624.76818
4/1/16,29381.56818
5/1/16,27030.67955
6/1/16,37209.64916
7/1/16,50835.10739
8/1/16,50727.59191
9/1/16,44749.3526
10/1/16,32832.17457
11/1/16,30258.0787
12/1/16,31306.19422
1/1/17,34194.69142
2/1/17,30136.21255
3/1/17,30709.16005
4/1/17,28423.37004
5/1/17,28646.65429
6/1/17,35334.27657
7/1/17,51691.96538
8/1/17,42359.47308
9/1/17,37096.55204
10/1/17,37108.07662
11/1/17,32074.62226
12/1/17,34233.87194
1/1/19,30282.02618
2/1/19,31551.79404
3/1/19,27964.72423
4/1/19,27853.50337
5/1/19,27735.54668
6/1/19,34300.95907
7/1/19,47076.07578
8/1/19,45160.85793
9/1/19,38183.45655
10/1/19,30943.02431
11/1/19,27760.27578
12/1/19,31423.58401
1/1/20,29792.86921
2/1/20,30141.56416
3/1/20,27519.04282
4/1/20,27702.2948
5/1/20,27255.92717
6/1/20,37092.64855
7/1/20,48087.07986
8/1/20,48558.63018
9/1/20,42456.20507
10/1/20,29538.72581
11/1/20,28885.36909
12/1/20,32497.29527
1/1/21,32644.5421
2/1/21,28812.61406
3/1/21,27298.65438
4/1/21,28405.81106
5/1/21,26546.13018
6/1/21,35179.15323
7/1/21,43701.58871
8/1/21,44862.65207
9/1/21,39539.05991
10/1/21,29403.37558
11/1/21,29227.39055
12/1/21,29570.40553
1/1/22,30547.66475
