Revenue Month,Consumption (KWH)
1/1/10,101558.7083
2/1/10,96880.73913
3/1/10,94632.47826
4/1/10,100211.4783
5/1/10,104681.7273
6/1/10,124665.3182
7/1/10,135243.5909
8/1/10,129548.2273
9/1/10,124099.1818
10/1/10,113540
11/1/10,104701.4545
12/1/10,104632.2727
1/1/12,89006.30769
2/1/12,84223.96154
3/1/12,85352.26923
4/1/12,80302.30769
5/1/12,83313.80769
6/1/12,101177.9231
7/1/12,114130.4231
8/1/12,103464.3846
9/1/12,103202.7308
10/1/12,94551.07692
11/1/12,69404.96429
12/1/12,88656.96429
1/1/13,83827.28571
2/1/13,88795.17857
3/1/13,76479.75
4/1/13,75284.21429
5/1/13,79474.32143
6/1/13,98937.96429
7/1/13,105399
8/1/13,94014.53571
9/1/13,98760.82143
10/1/13,86523.17857
11/1/13,75499.17857
12/1/13,83295.39286
1/1/14,79506.60714
2/1/14,83235.78571
3/1/14,75338.42857
4/1/14,75741.14286
5/1/14,76052.32143
6/1/14,92653.96429
7/1/14,97775.39286
8/1/14,91064.96429
9/1/14,97251
10/1/14,85369.21429
11/1/14,76111.25
12/1/14,84738.14286
9/1/19,83407.90323
10/1/19,71926.96774
11/1/19,65211.74194
12/1/19,71095.83871
1/1/20,65897
2/1/20,69251.16129
3/1/20,61458.45161
4/1/20,57539.74194
5/1/20,60297.16129
6/1/20,73969.6129
7/1/20,77946.48387
8/1/20,77755.93548
9/1/20,79557.83871
10/1/20,69081.12903
11/1/20,62533.6129
12/1/20,73698.5
1/1/21,65542.74194
2/1/21,59855.48387
3/1/21,56074.35484
4/1/21,57112.12903
5/1/21,55691.90323
6/1/21,68019.74194
7/1/21,77157.64516
8/1/21,76932.25806
9/1/21,72219
10/1/21,64377.03226
11/1/21,64781.29032
12/1/21,63490.96774
1/1/22,67250.45161
