Revenue Month,Consumption (KWH)
1/1/10,41671.35088
2/1/10,32817.83529
3/1/10,32033.33465
4/1/10,31881.95276
5/1/10,33372.60985
6/1/10,40585.69804
7/1/10,58623.14902
8/1/10,57043.01132
9/1/10,42793.9635
10/1/10,33739.11321
11/1/10,34576.64286
12/1/10,35100.41509
1/1/12,26408.42061
2/1/12,22610.55618
3/1/12,23646.47899
4/1/12,21399.34174
5/1/12,22663.19346
6/1/12,28528.04213
7/1/12,37489.27621
8/1/12,34103.65985
9/1/12,29411.79602
10/1/12,21745.9264
11/1/12,18674.65051
12/1/12,20160.13776
1/1/13,25420.55949
2/1/13,22415.79798
3/1/13,19162.2399
4/1/13,19527.51654
5/1/13,19944.49239
6/1/13,25371.51015
7/1/13,37424.57614
8/1/13,28908.45685
9/1/13,27420.33083
10/1/13,20106.59439
11/1/13,19496.13776
12/1/13,22463.59694
1/1/14,23726.96447
2/1/14,21889.2112
3/1/14,20783.99239
4/1/14,19412.77193
5/1/14,19851.38945
6/1/14,24350.10152
7/1/14,32914.43147
8/1/14,29822.91646
9/1/14,29650.90323
10/1/14,22242.00254
11/1/14,21536.78934
12/1/14,23722.65228
1/1/15,24397.61772
2/1/15,21719.16751
3/1/15,20737.28861
4/1/15,20536.45939
5/1/15,22117.42432
6/1/15,24911.34518
7/1/15,31598.51777
8/1/15,35447.35533
9/1/15,31247.05955
10/1/15,21427.4173
11/1/15,22131.84987
12/1/15,22568.63359
1/1/16,23724.61578
2/1/16,21500.53181
3/1/16,20316.99239
4/1/16,20078.53061
5/1/16,21558.3309
6/1/16,24587.82697
7/1/16,34763.67939
8/1/16,35102.85751
9/1/16,32305.4901
10/1/16,22022.43766
11/1/16,21459.81679
12/1/16,22507.39949
1/1/17,23394.47837
2/1/17,20926.34694
3/1/17,20911.82952
4/1/17,19171.83503
5/1/17,20832.17618
6/1/17,23493.58418
7/1/17,33673.92092
8/1/17,29472.47704
9/1/17,25707.87593
10/1/17,23412.05102
11/1/17,22391.5102
12/1/17,22683.14688
1/1/19,21587.41049
2/1/19,19611.8785
3/1/19,17457.6904
4/1/19,18683.03427
5/1/19,17873.97866
6/1/19,18722.56386
7/1/19,23673.60436
8/1/19,23279.54517
9/1/19,26173.58088
10/1/19,18840.09231
11/1/19,16917.5
12/1/19,18804.59487
1/1/20,18262.53161
2/1/20,18120.6615
3/1/20,17655.55556
4/1/20,18138.53032
5/1/20,16512.61832
6/1/20,22025.68895
7/1/20,30487.98715
8/1/20,30038.46787
9/1/20,26010.90127
10/1/20,17458.53093
11/1/20,17466.56812
12/1/20,20264.6581
1/1/21,20128.26564
2/1/21,17845.28351
3/1/21,16853.07653
4/1/21,17065.62821
5/1/21,16605.46582
6/1/21,21263.43077
7/1/21,27676.15051
8/1/21,28197.56997
9/1/21,24739.50374
10/1/21,18441.14541
11/1/21,19372.17361
12/1/21,19082.03429
1/1/22,19509.95141
