Revenue Month,Consumption (KWH)
1/1/10,130853.6522
2/1/10,132395.4
3/1/10,117703.75
4/1/10,97643.34783
5/1/10,109158.6957
6/1/10,139786.3478
7/1/10,179489.2609
8/1/10,177515.6522
9/1/10,142180.9565
10/1/10,115612.0435
11/1/10,114297.1739
12/1/10,118971.9565
1/1/12,122390.1667
2/1/12,105184.3333
3/1/12,103856.125
4/1/12,95689.29167
5/1/12,97305.79167
6/1/12,125058.625
7/1/12,180117.9583
8/1/12,158452.625
9/1/12,139264.75
10/1/12,110313.5417
11/1/12,98828.33333
12/1/12,114483.3333
1/1/13,117031.4167
2/1/13,118533.5833
3/1/13,101484.7083
4/1/13,95730.04167
5/1/13,94963.125
6/1/13,129848.4167
7/1/13,178338.3333
8/1/13,136445.9167
9/1/13,141636.8333
10/1/13,103950.7083
11/1/13,99204.20833
12/1/13,117761.9167
1/1/14,113723.25
2/1/14,113675.0417
3/1/14,99253.5
4/1/14,95009.83333
5/1/14,92714.83333
6/1/14,125393
7/1/14,151896.4167
8/1/14,139419.6667
9/1/14,142906.9167
10/1/14,104533
11/1/14,102431.2083
12/1/14,119168.2917
1/1/15,123028.375
2/1/15,111053
3/1/15,99369.2
4/1/15,93111.6
5/1/15,104805.16
6/1/15,121228.64
7/1/15,145691.12
8/1/15,165332.96
9/1/15,143961.64
10/1/15,107212.84
11/1/15,107516.84
12/1/15,107053.28
1/1/16,113288.68
2/1/16,103892.48
3/1/16,93373.08
4/1/16,97411.28
5/1/16,90393.2
6/1/16,122371.4
7/1/16,159785.48
8/1/16,158981.84
9/1/16,144760.76
10/1/16,109694.32
11/1/16,98170.04
12/1/16,105437.6
1/1/17,114057.04
2/1/17,100110.84
3/1/17,101809.36
4/1/17,91326.76
5/1/17,92470.24
6/1/17,112809.92
7/1/17,160179.68
8/1/17,134245.96
9/1/17,120845.32
10/1/17,116674.1304
11/1/17,98208.56522
12/1/17,101887.6522
1/1/19,102059.96
2/1/19,89698.64
3/1/19,90862.72
4/1/19,88595.04
5/1/19,89412.64
6/1/19,112186.88
7/1/19,154917.12
8/1/19,123827.96
9/1/19,129495.04
10/1/19,102894.24
11/1/19,91374.24
12/1/19,104009.44
1/1/20,99219.52
2/1/20,100059.04
3/1/20,89801.92
4/1/20,90525.76
5/1/20,91101.76
6/1/20,121330.4
7/1/20,155988.48
8/1/20,156280.32
9/1/20,139243.04
10/1/20,99415.36
11/1/20,98657.44
12/1/20,109078.24
1/1/21,111183.36
2/1/21,98435.68
3/1/21,91788.8
4/1/21,94826.56
5/1/21,90622.24
6/1/21,117712.96
7/1/21,148803.52
8/1/21,149863.04
9/1/21,131800
10/1/21,99293.12
11/1/21,94487.84
12/1/21,96181.12
1/1/22,106233.44
