Revenue Month,Consumption (KWH)
01/2010,45446.03078
02/2010,38808.14458
03/2010,36667.21094
04/2010,36808.51446
05/2010,36933.63288
06/2010,48028.77314
07/2010,63708.21182
08/2010,61722.96423
09/2010,47599.56207
10/2010,39679.06308
11/2010,39462.46011
12/2010,40121.19911
01/2012,37313.38128
02/2012,32108.25459
03/2012,32078.38429
04/2012,28782.53982
05/2012,29113.93017
06/2012,37372.73724
07/2012,53037.93461
08/2012,48004.8844
09/2012,42011.23492
10/2012,33364.06017
11/2012,29354.47025
12/2012,33311.04937
01/2013,32873.24721
02/2013,31917.20809
03/2013,27889.65082
04/2013,26275.583
05/2013,26177.08215
06/2013,35296.17048
07/2013,48926.32069
08/2013,37813.51017
09/2013,38471.38556
10/2013,28418.67878
11/2013,27045.21973
12/2013,31235.68683
01/2014,30235.83686
02/2014,29559.36478
03/2014,26798.32736
04/2014,25617.61428
05/2014,25502.64225
06/2014,33186.53087
07/2014,40039.21799
08/2014,35905.36837
09/2014,36929.83471
10/2014,27127.74008
11/2014,26647.49359
12/2014,30404.67751
01/2015,30328.21514
02/2015,27288.45767
03/2015,25471.42152
04/2015,24768.04844
05/2015,27727.96305
06/2015,30867.17683
07/2015,37870.66352
08/2015,43139.02357
09/2015,38274.60458
10/2015,27211.39364
11/2015,27590.85272
12/2015,27909.21973
01/2016,29255.88486
02/2016,27009.37669
03/2016,24811.13904
04/2016,26058.06289
05/2016,24268.8986
06/2016,31999.22872
07/2016,42801.57151
08/2016,42865.75575
09/2016,38190.02881
10/2016,28807.55575
11/2016,26469.05518
12/2016,27725.98968
01/2017,29557.01693
02/2017,26126.85325
03/2017,26566.16541
04/2017,24172.94317
05/2017,24481.53633
06/2017,29653.63703
07/2017,42507.86801
08/2017,35835.41938
09/2017,31344.01142
10/2017,31377.49289
11/2017,26616.7027
12/2017,28594.29767
01/2019,26828.51304
02/2019,26567.085
03/2019,23759.64672
04/2019,23650.48362
05/2019,23284.12829
06/2019,28234.46362
07/2019,38367.64809
08/2019,36477.04316
09/2019,32798.47782
10/2019,26682.09232
11/2019,24261.86401
12/2019,27558.74058
01/2020,26273.67046
02/2020,26297.63053
03/2020,23914.57674
04/2020,24287.37354
05/2020,23787.60164
06/2020,30912.65327
07/2020,40364.42342
08/2020,40483.05718
09/2020,36314.89403
10/2020,26375.25822
11/2020,25281.38516
12/2020,28431.41349
01/2021,28390.41827
02/2021,25297.90577
03/2021,23828.88203
04/2021,24523.94112
05/2021,23180.82042
06/2021,29598.0246
07/2021,36927.00615
08/2021,37567.40591
09/2021,33186.18049
10/2021,25960.35578
11/2021,25986.35224
12/2021,26110.54492
01/2022,27277.16637
